name,generic_name,composition,strength,dosage_form,manufacturer,price,stock_quantity,expiry_date,prescription_required,disease_category,description,image_url
Dolo 650,Paracetamol,Paracetamol,650mg,Tablet,Micro Labs Ltd,30.50,150,2027-12-31,False,Fever & Pain,"Common antipyretic and analgesic tablet used for treating mild-to-moderate fever and headaches.",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400
Calpol 650,Paracetamol,Paracetamol,650mg,Tablet,GSK Pharmaceuticals,32.00,120,2027-10-15,False,Fever & Pain,"Fast-acting fever and pain relief tablet containing pure Paracetamol 650mg.",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400
Pacimol 650,Paracetamol,Paracetamol,650mg,Tablet,Ipca Laboratories,18.00,200,2028-02-28,False,Fever & Pain,"Economical generic alternative paracetamol 650mg formulation for fever.",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400
Crocin 650,Paracetamol,Paracetamol,650mg,Tablet,GlaxoSmithKline,33.50,85,2027-08-30,False,Fever & Pain,"Trusted formulation for managing fever, body ache, and migraine discomfort.",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400
Augmentin 625 Duo,Amoxicillin and Potassium Clavulanate,Amoxicillin (500mg) + Clavulanic Acid (125mg),625mg,Tablet,GSK India,215.00,90,2027-06-30,True,Antibiotics,"Broad-spectrum antibiotic tablet indicated for respiratory, skin, and urinary tract infections.",https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400
Moxikind-CV 625,Amoxicillin and Potassium Clavulanate,Amoxicillin (500mg) + Clavulanic Acid (125mg),625mg,Tablet,Mankind Pharma,125.00,140,2027-09-20,True,Antibiotics,"Affordable broad spectrum antibacterial substitute with exact active ingredients.",https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400
Clavam 625,Amoxicillin and Potassium Clavulanate,Amoxicillin (500mg) + Clavulanic Acid (125mg),625mg,Tablet,Alkem Laboratories,148.00,110,2027-11-15,True,Antibiotics,"High-grade equivalent antibiotic for bacterial bacterial infections.",https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400
Telma 40,Telmisartan,Telmisartan,40mg,Tablet,Glenmark Pharmaceuticals,142.00,100,2027-05-30,True,Cardiovascular & Hypertension,"Angiotensin II receptor blocker used in managing high blood pressure and cardiac health.",https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400
Telpres 40,Telmisartan,Telmisartan,40mg,Tablet,Abbott Healthcare,78.00,160,2027-11-30,True,Cardiovascular & Hypertension,"Affordable substitute Telmisartan 40mg for long-term hypertension management.",https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400
Telmikind 40,Telmisartan,Telmisartan,40mg,Tablet,Mankind Pharma,62.00,180,2028-01-10,True,Cardiovascular & Hypertension,"High-value generic option for daily blood pressure control.",https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400
Pan 40,Pantoprazole,Pantoprazole,40mg,Tablet,Alkem Laboratories,155.00,130,2027-07-20,False,Gastrointestinal & Acidity,"Proton pump inhibitor used to reduce stomach acid production and treat GERD.",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400
Pantocid 40,Pantoprazole,Pantoprazole,40mg,Tablet,Sun Pharma,162.00,95,2027-04-18,False,Gastrointestinal & Acidity,"Standard brand pantoprazole for acid reflux, peptic ulcers, and heartburn.",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400
Pantodac 40,Pantoprazole,Pantoprazole,40mg,Tablet,Zydus Cadila,98.00,175,2027-12-05,False,Gastrointestinal & Acidity,"Effective lower-cost substitute pantoprazole 40mg tablet for acidity relief.",https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400
Glycomet 500,Metformin Hydrochloride,Metformin,500mg,Tablet,USV Private Ltd,42.00,220,2028-03-31,True,Diabetes Care,"First-line oral anti-hyperglycemic agent for managing Type 2 diabetes.",https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400
Metfor 500,Metformin Hydrochloride,Metformin,500mg,Tablet,Cipla Ltd,24.00,260,2028-05-15,True,Diabetes Care,"Reliable generic Metformin 500mg for daily glycemic control.",https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400
